opeid,name,address,city,state,zip,number_of_defaults,number_of_loans,default_rate
21000,UNIVERSIDAD POLITECNICA DE PUERTO RICO                           ,#377 PONCE DE LEON AVENUE                         ,SAN JUAN            ,PR,918,101,953,10.5
21002,BROOKHAVEN COLLEGE                                               ,3939 VALLEY VIEW LANE                             ,FARMERS BRANCH      ,TX,75244,90,592,15.2
21003,MED-ASSIST SCHOOL OF HAWAII                                      ,345 QUEEN STREET                   SUITE 400      ,HONOLULU            ,HI,96813,10,85,11.7
21005,UNIVERSAL TECHNICAL INSTITUTE                                    ,2844 WEST DEER VALLEY ROAD                        ,PHOENIX             ,AZ,85027,1004,5308,18.9
21006,CARRINGTON COLLEGE                                               ,8503 NORTH 27TH AVENUE                            ,PHOENIX             ,AZ,85015,448,2493,17.9
21010,NORTHWEST COLLEGE SCHOOL OF BEAUTY                               ,8307 SOUTH EAST MONTEREY AVENUE                   ,CLACKAMAS           ,OR,97086,49,410,11.9
21019,ROEHAMPTON UNIVERSITY                                            ,GROVE HOUSE                        ROEHAMPTON LANE,LONDON              ,FC,SW15 ,1,80,1.2
21021,KINGSWOOD UNIVERSITY                                             ,26 WESTERN STREET                                 ,SUSSEX              ,FC,E4E 5,1,88,1.1
21037,CAPRI INSTITUTE OF HAIR DESIGN                                   ,615 WINTERS AVENUE                                ,PARAMUS             ,NJ,7652,9,119,7.5
21040,HARRIS SCHOOL OF BUSINESS                                        ,ONE CHERRY HILL SUITE 700          ONE MALL DRIVE ,CHERRY HILL         ,NJ,8002,361,1362,26.5
21043,OTSEGO DELAWARE SCHOHARIE GREENE BOCES                           ,2020 JUMP BROOK ROAD                              ,GRAND GORGE         ,NY,12134,3,40,7.5
21044,SPA TECH INSTITUTE                                               ,100 LARRABEE ROAD                                 ,WESTBROOK           ,ME,4093,16,379,4.2
21049,SUMNER COLLEGE                                                   ,15115 SOUTHWEST SEQUOIA PARKWAY    SUITE 200      ,PORTLAND            ,OR,97224,25,191,13
21053,EVERGREEN BEAUTY AND BARBER COLLEGE                              ,14045 NORTHEAST 20TH STREET                       ,BELLEVUE            ,WA,98007,5,117,4.2
21059,BRITTANY BEAUTY ACADEMY                                          ,375 86TH STREET                                   ,BROOKLYN            ,NY,11209,31,294,10.5
21061,COLLEGE OF COSMETOLOGY                                           ,357 EAST MAIN STREET                              ,KLAMATH FALLS       ,OR,97601,6,60,10
21064,O'MORE COLLEGE OF DESIGN                                         ,423 SOUTH MARGIN STREET                           ,FRANKLIN            ,TN,37064,3,55,5.4
21066,AMERICAN INSTITUTE                                               ,99 SOUTH STREET                                   ,WEST HARTFORD       ,CT,6110,157,790,19.8
21073,PENNSYLVANIA ACADEMY OF THE FINE ARTS                            ,128 NORTH BROAD STREET                            ,PHILADELPHIA        ,PA,19102,7,95,7.3
21077,TRUCKEE MEADOWS COMMUNITY COLLEGE                                ,7000 DANDINI BOULEVARD                            ,RENO                ,NV,89512,369,1711,21.5
